Living Roots|Common|Druid|TGT
Naturalize|Common|Druid|Classic
Power of the Wild|Common|Druid|Classic
Wrath|Common|Druid|Classic
Anodized Robo Cub|Common|Druid|GVG
Druid of the Saber|Common|Druid|TGT
Mark of Nature|Common|Druid|Classic
Soul of the Forest|Common|Druid|Classic
Wildwalker|Common|Druid|TGT
Druid of the Claw|Common|Druid|Classic
Druid of the Fang|Common|Druid|GVG
Savagery|Rare|Druid|Classic
Darnassus Aspirant|Rare|Druid|TGT
Grove Tender|Rare|Druid|GVG
Bite|Rare|Druid|Classic
Keeper of the Grove|Rare|Druid|Classic
Savage Combatant|Rare|Druid|TGT
Nourish|Rare|Druid|Classic
Starfall|Rare|Druid|Classic
Recycle|Rare|Druid|GVG
Mech-Bear-Cat|Rare|Druid|GVG
Knight of the Wild|Rare|Druid|TGT
Mulch|Epic|Druid|TGT
Astral Communion|Epic|Druid|TGT
Dark Wispers|Epic|Druid|GVG
Force of Nature|Epic|Druid|Classic
Ancient of Lore|Epic|Druid|Classic
Ancient of War|Epic|Druid|Classic
Tree of Life|Epic|Druid|GVG
Malorne|Legendary|Druid|GVG
Aviana|Legendary|Druid|TGT
Cenarius|Legendary|Druid|Classic
Brave Archer|Common|Hunter|TGT
Glaivezooka|Common|Hunter|GVG
Bear Trap|Common|Hunter|TGT
Explosive Trap|Common|Hunter|Classic
Freezing Trap|Common|Hunter|Classic
Snipe|Common|Hunter|Classic
King's Elekk|Common|Hunter|TGT
Scavenging Hyena|Common|Hunter|Classic
Deadly Shot|Common|Hunter|Classic
Unleash the Hounds|Common|Hunter|Classic
Cobra Shot|Common|Hunter|GVG
Call Pet|Rare|Hunter|GVG
Flare|Rare|Hunter|Classic
Misdirection|Rare|Hunter|Classic
Eaglehorn Bow|Rare|Hunter|Classic
Powershot|Rare|Hunter|TGT
Metaltooth Leaper|Rare|Hunter|GVG
Explosive Shot|Rare|Hunter|Classic
King of Beasts|Rare|Hunter|GVG
Ram Wrangler|Rare|Hunter|TGT
Ball of Spiders|Rare|Hunter|TGT
Savannah Highmane|Rare|Hunter|Classic
Bestial Wrath|Epic|Hunter|Classic
Feign Death|Epic|Hunter|GVG
Lock and Load|Epic|Hunter|TGT
Snake Trap|Epic|Hunter|Classic
Steamwheedle Sniper|Epic|Hunter|GVG
Stablemaster|Epic|Hunter|TGT
Gladiator's Longbow|Epic|Hunter|Classic
Dreadscale|Legendary|Hunter|TGT
Acidmaw|Legendary|Hunter|TGT
Gahz'rilla|Legendary|Hunter|GVG
King Krush|Legendary|Hunter|Classic
Ice Lance|Common|Mage|Classic
Mana Wyrm|Common|Mage|Classic
Flamecannon|Common|Mage|GVG
Snowchugger|Common|Mage|GVG
Sorcerer's Apprentice|Common|Mage|Classic
Ice Barrier|Common|Mage|Classic
Mirror Entity|Common|Mage|Classic
Spellslinger|Common|Mage|TGT
Cone of Cold|Common|Mage|Classic
Dalaran Aspirant|Common|Mage|TGT
Flame Lance|Common|Mage|TGT
Unstable Portal|Rare|Mage|GVG
Fallen Hero|Rare|Mage|TGT
Counterspell|Rare|Mage|Classic
Effigy|Rare|Mage|TGT
Polymorph: Boar|Rare|Mage|TGT
Vaporize|Rare|Mage|Classic
Kirin Tor Mage|Rare|Mage|Classic
Soot Spewer|Rare|Mage|GVG
Ethereal Arcanist|Rare|Mage|Classic
Goblin Blastmage|Rare|Mage|GVG
Blizzard|Rare|Mage|Classic
Arcane Blast|Epic|Mage|TGT
Ice Block|Epic|Mage|Classic
Spellbender|Epic|Mage|Classic
Echo of Medivh|Epic|Mage|GVG
Wee Spellstopper|Epic|Mage|GVG
Coldarra Drake|Epic|Mage|TGT
Pyroblast|Epic|Mage|Classic
Archmage Antonidas|Legendary|Mage|Classic
Flame Leviathan|Legendary|Mage|GVG
Rhonin|Legendary|Mage|TGT
Blessing of Wisdom|Common|Paladin|Classic
Eye for an Eye|Common|Paladin|Classic
Noble Sacrifice|Common|Paladin|Classic
Redemption|Common|Paladin|Classic
Repentance|Common|Paladin|Classic
Seal of Light|Common|Paladin|GVG
Argent Protector|Common|Paladin|Classic
Shielded Minibot|Common|Paladin|GVG
Seal of Champions|Common|Paladin|TGT
Warhorse Trainer|Common|Paladin|TGT
Murloc Knight|Common|Paladin|TGT
Competitive Spirit|Rare|Paladin|TGT
Argent Lance|Rare|Paladin|TGT
Equality|Rare|Paladin|Classic
Divine Favor|Rare|Paladin|Classic
Muster for Battle|Rare|Paladin|GVG
Aldor Peacekeeper|Rare|Paladin|Classic
Scarlet Purifier|Rare|Paladin|GVG
Blessed Champion|Rare|Paladin|Classic
Holy Wrath|Rare|Paladin|Classic
Cobalt Guardian|Rare|Paladin|GVG
Tuskarr Jouster|Rare|Paladin|TGT
Coghammer|Epic|Paladin|GVG
Sword of Justice|Epic|Paladin|Classic
Quartermaster|Epic|Paladin|GVG
Avenging Wrath|Epic|Paladin|Classic
Enter the Coliseum|Epic|Paladin|TGT
Mysterious Challenger|Epic|Paladin|TGT
Lay on Hands|Epic|Paladin|Classic
Bolvar Fordragon|Legendary|Paladin|GVG
Eadric the Pure|Legendary|Paladin|TGT
Tirion Fordring|Legendary|Paladin|Classic
Circle of Healing|Common|Priest|Classic
Silence|Common|Priest|Classic
Flash Heal|Common|Priest|TGT
Inner Fire|Common|Priest|Classic
Power Word: Glory|Common|Priest|TGT
Shrinkmeister|Common|Priest|GVG
Thoughtsteal|Common|Priest|Classic
Velen's Chosen|Common|Priest|GVG
Holy Champion|Common|Priest|TGT
Lightspawn|Common|Priest|Classic
Temple Enforcer|Common|Priest|Classic
Light of the Naaru|Rare|Priest|GVG
Convert|Rare|Priest|TGT
Lightwell|Rare|Priest|Classic
Shadowboxer|Rare|Priest|GVG
Wyrmrest Agent|Rare|Priest|TGT
Mass Dispel|Rare|Priest|Classic
Shadow Madness|Rare|Priest|Classic
Auchenai Soulpriest|Rare|Priest|Classic
Spawn of Shadows|Rare|Priest|TGT
Upgraded Repair Bot|Rare|Priest|GVG
Holy Fire|Rare|Priest|Classic
Shadowbomber|Epic|Priest|GVG
Confuse|Epic|Priest|TGT
Shadowform|Epic|Priest|Classic
Shadowfiend|Epic|Priest|TGT
Mindgames|Epic|Priest|Classic
Lightbomb|Epic|Priest|GVG
Cabal Shadow Priest|Epic|Priest|Classic
Vol'jin|Legendary|Priest|GVG
Confessor Paletress|Legendary|Priest|TGT
Prophet Velen|Legendary|Priest|Classic
Shadowstep|Common|Rogue|Classic
Cold Blood|Common|Rogue|Classic
Conceal|Common|Rogue|Classic
Buccaneer|Common|Rogue|TGT
Betrayal|Common|Rogue|Classic
Eviscerate|Common|Rogue|Classic
Defias Ringleader|Common|Rogue|Classic
Goblin Auto-Barber|Common|Rogue|GVG
Undercity Valiant|Common|Rogue|TGT
Tinker's Sharpsword Oil|Common|Rogue|GVG
Shado-Pan Rider|Common|Rogue|TGT
Blade Flurry|Rare|Rogue|Classic
Cutpurse|Rare|Rogue|TGT
One-eyed Cheat|Rare|Rogue|GVG
Perdition's Blade|Rare|Rogue|Classic
Burgle|Rare|Rogue|TGT
Headcrack|Rare|Rogue|Classic
Iron Sensei|Rare|Rogue|GVG
Shady Dealer|Rare|Rogue|TGT
SI:7 Agent|Rare|Rogue|Classic
Master of Disguise|Rare|Rogue|Classic
Ogre Ninja|Rare|Rogue|GVG
Preparation|Epic|Rogue|Classic
Patient Assassin|Epic|Rogue|Classic
Cogmaster's Wrench|Epic|Rogue|GVG
Beneath the Grounds|Epic|Rogue|TGT
Poisoned Blade|Epic|Rogue|TGT
Sabotage|Epic|Rogue|GVG
Kidnapper|Epic|Rogue|Classic
Edwin VanCleef|Legendary|Rogue|Classic
Trade Prince Gallywix|Legendary|Rogue|GVG
Anub'arak|Legendary|Rogue|TGT
Earth Shock|Common|Shaman|Classic
Forked Lightning|Common|Shaman|Classic
Lightning Bolt|Common|Shaman|Classic
Dust Devil|Common|Shaman|Classic
Stormforged Axe|Common|Shaman|Classic
Ancestral Knowledge|Common|Shaman|TGT
Crackle|Common|Shaman|GVG
Totem Golem|Common|Shaman|TGT
Whirling Zap-o-matic|Common|Shaman|GVG
Tuskarr Totemic|Common|Shaman|TGT
Unbound Elemental|Common|Shaman|Classic
Ancestral Spirit|Rare|Shaman|Classic
Vitality Totem|Rare|Shaman|GVG
Powermace|Rare|Shaman|GVG
Feral Spirit|Rare|Shaman|Classic
Healing Wave|Rare|Shaman|TGT
Lava Burst|Rare|Shaman|Classic
Lightning Storm|Rare|Shaman|Classic
Mana Tide Totem|Rare|Shaman|Classic
Draenei Totemcarver|Rare|Shaman|TGT
Dunemaul Shaman|Rare|Shaman|GVG
Thunder Bluff Valiant|Rare|Shaman|TGT
Elemental Destruction|Epic|Shaman|TGT
Far Sight|Epic|Shama|Classic
Charged Hammer|Epic|Shaman|TGT
Ancestor's Call|Epic|Shaman|GVG
Siltfin Spiritwalker|Epic|Shaman|GVG
Doomhammer|Epic|Shaman|Classic
Earth Elemental|Epic|Shaman|Classic
The Mistcaller|Legendary|Shaman|TGT
Neptulon|Legendary|Shaman|GVG
Al'Akir the Windlord|Legendary|Shaman|Classic
Power Overwhelming|Common|Warlock|Classic
Blood Imp|Common|Warlock|Classic
Flame Imp|Common|Warlock|Classic
Darkbomb|Common|Warlock|GVG
Demonfire|Common|Warlock|Classic
Demonfuse|Common|Warlock|TGT
Wrathguard|Common|Warlock|TGT
Sense Demons|Common|Warlock|Classic
Summoning Portal|Common|Warlock|Classic
Floating Watcher|Common|Warlock|GVG
Fearsome Doomguard|Common|Warlock|TGT
Mistress of Pain|Rare|Warlock|GVG
Tiny Knight of Evil|Rare|Warlock|TGT
Felguard|Rare|Warlock|Classic
Void Terror|Rare|Warlock|Classic
Fist of Jaraxxus|Rare|Warlock|TGT
Imp-losion|Rare|Warlock|GVG
Shadowflame|Rare|Warlock|Classic
Fel Cannon|Rare|Warlock|GVG
Doomguard|Rare|Warlock|Classic
Siphon Soul|Rare|Warlock|Classic
Void Crusher|Rare|Warlock|TGT
Dreadsteed|Epic|Warlock|TGT
Pit Lord|Epic|Warlock|Classic
Bane of Doom|Epic|Warlock|Classic
Demonheart|Epic|Warlock|GVG
Dark Bargain|Epic|Warlock|TGT
Anima Golem|Epic|Warlock|GVG
Twisting Nether|Epic|Warlock|Classic
Wilfred Fizzlebang|Legendary|Warlock|TGT
Lord Jaraxxus|Legendary|Warlock|Classic
Mal'Ganis|Legendary|Warlock|GVG
Inner Rage|Common|Warrior|Classic
Warbot|Common|Warrior|GVG
Battle Rage|Common|Warrior|Classic
Bolster|Common|Warrior|TGT
Rampage|Common|Warrior|Classic
Slam|Common|Warrior|Classic
Cruel Taskmaster|Common|Warrior|Classic
Ogre Warmaul|Common|Warrior|GVG
Bash|Common|Warrior|TGT
Orgrimmar Aspirant|Common|Warrior|TGT
Arathi Weaponsmith|Common|Warrior|Classic
Upgrade!|Rare|Warrior|Classic
Commanding Shout|Rare|Warrior|Classic
